INTL_20160320_000001	副本、任务追加进场1次	인던,미션 1회 추가입장				
INTL_20180514_000165	配方 - 匠人的武器秘密亚斯帕娜左轮手枪	장인의 비밀 제작서-아스파나 리볼버				
INTL_20180514_000166	配方 - 匠人的武器秘密艾蒙加德火枪	장인의 비밀 제작서-에멘가드 머스킷				
INTL_20180514_000167	配方 - 匠人的武器秘密艾蒙加德重砲	장인의 비밀 제작서-에멘가드 캐논				
INTL_20180514_000168	配方 - 匠人的武器秘密艾蒙加德之盾	장인의 비밀 제작서-에멘가드 실드				
INTL_20180523_000169	为服务器中的所有角色授予代币福利,持续60天.查看剩余时间在角色信息下方.{nl}[代币福利]{nl} - 可以立即学习属性{nl} - 市场佣金费率降低(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多10个物品{nl} - 可以注册超出最低/最高价格限制的物品{nl} - 可以立即提取市场银币{nl}- 移动速度+3{nl} -猎杀怪物经验值+50%{nl}(与经验册效果叠加){nl}- 团队仓库槽位+30{nl} - 可以使用高级手势{nl} - 可以使用个人交易,最多60次	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여 시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +50% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 +30칸 증가{nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 60회 가능				
INTL_20180523_000170	为服务器中的所有角色授予代币福利,持续7天.查看剩余时间在角色信息下方.{nl}[代币福利]{nl} - 可以立即学习属性{nl} - 市场佣金费率降低(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多10个物品{nl} - 可以注册超出最低/最高价格限制的物品{nl} - 可以立即提取市场银币{nl}- 移动速度+3{nl} - 猎杀怪物经验值+50%{nl}(与经验册效果叠加){nl}- 团队仓库槽位+30{nl} - 可以使用高级手势	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여 시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +50% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 +30칸 증가{nl} - 프리미엄 제스쳐 사용 가능				
INTL_20180525_000171	开启时可获得套装.{nl} - 应邀者套装(男){nl} - 应邀者套装(女)	사용 시 코스튬을 획득할 수 있습니다.{nl} - 초대에 응한 자 코스튬(남){nl} - 초대에 응한 코스튬(여)	INTL_20180326_000128	活动用传送卷轴.{nl}使用后会移动到2週年活动小帮手npc旁边.	이벤트용 워프 주문서입니다.{nl}사용 시 2주년 이벤트 도우미 npc 앞으로 이동합니다.	
INTL_20180615_000172	授予最具创意的TPP玩家的称号.鼠标右键使用.	Creative TPP Player에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20180615_000173	受诅咒之魂使用者	저주받은 혼 사용자				
INTL_20180615_000174	受诅咒之魂	저주받은 혼				
INTL_20180615_000175	对受诅咒的士兵秀出受诅咒之魂,就可以进入到受诅咒的地区.{nl}使用道具时,10分内套用移动速度+2、物理攻击力+50、魔法攻击力+50的效果.	저주받은 병사에게 보여주면 저주받은 지역으로 갈 수 있습니다.{nl}사용 시 10분 동안 이동속도 +2, 물리 공격력 +50, 마법 공격력 +50 증가합니다.				
INTL_20180615_000176	没有受诅咒之魂的人无法通过.	저주받은 혼이 없는 자는 이 앞을 지나갈 수 없다.				저주받은 병사
INTL_20180615_000177	你连要到受诅咒的海岸消灭怪物才能得到受诅咒之魂这事都不知道,真是个菜鸟.	저주받은 해안의 몬스터를 처치해야만 저주받은 혼을 구할 수 있는 것도 모르는 애송이로군.				저주받은 병사
INTL_20180615_000178	从某地传来的声音	어디선가 들려오는 목소리				
INTL_20180615_000179	只有靠受诅咒之魂才能唤醒受诅咒的石化鲸…	오직 저주받은 혼으로만 저주받은 석화 고래를 깨울 수 있지..				어디선가 들려오는 목소리
INTL_20180615_000180	秀出受诅咒之魂.	저주받은 혼을 보여준다.				
INTL_20180615_000181	{Name}已经唤醒受诅咒的石化鲸.	{Name}님이 저주받은 석화 고래를 깨웠습니다.				
INTL_20180723_000182	授予2018夏季粉丝艺术节获奖参赛者的头衔.鼠标右键使用.	Loving Summer 팬아트 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20180809_000183	授予活动参与者的头衔.鼠标右键使用.	이벤트 참여자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20180809_000184	经验值+100%,移动速度+3,最大生命值增加{nl}生命、法力和耐力恢复,范围攻击比例+2	경험치 100% 증가, 이동속도 +3, 최대체력 증가{nl}HP, SP, 스태미너 회복, 광역 공격 비율 +2				
INTL_20180809_000185	经验值+100%,移动速度+3,拾取物品几率+100{nl}生命、法力和耐力恢复	경험치 100% 증가, 이동속도 +3, 루팅찬스 +100{nl}HP, SP, 스태미너 회복				
INTL_20180809_000186	[活动] 解锁抽奖券选择箱	[이벤트] 해금권 선택 상자				
INTL_20180809_000187	隐藏职业解锁券箱 {nl} 可解锁职业列表 {nl} - 信使解锁券 {nl} - 巫女解锁券 {nl} - 符文咒者解锁券 {nl} - 估价师解锁券 {nl} -泰拳战士解锁券{nl}事件期结束时将自动删除.	히든 직업 해금권 선택 상자 {nl} 선택 가능 목록 {nl} - 시노비 해금권 {nl} - 무녀 해금권 {nl} - 룬 캐스터 해금권 {nl} - 감정사 해금권 {nl} - 낙무아이 해금권{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180809_000188	[活动] Lv 350 强化/超越武器选择箱	[이벤트] 350레벨 강화 및 초월 무기 선택 상자				
INTL_20180809_000189	用于选择一个稀有品质的lv350武器,强化到+11并转化到第5阶段.{nl}强化和转化将在选择武器后生效.{nl}事件期结束时,箱子将自动删除.	350레벨 레어 11강 5초월 무기를 지급 받을 수 있습니다.{nl}(강화 및 초월은 아이템 선택 시 적용됩니다.){nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180809_000190	参加活动的玩家专属称号.右击使用.	이벤트에 참여자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20180809_000191	[友人] 贝尔塔斯 拉菲剑	[우정] 베르타스 라파이 소드				
INTL_20180809_000192	[友人] 贝尔塔斯 拉菲双手剑	[우정] 베르타스 라파이 투 핸드 소드				
INTL_20180809_000193	[友人] 贝尔塔斯 拉菲魔杖	[우정] 베르타스 라파이 로드				
INTL_20180809_000194	[友人] 贝尔塔斯 拉菲弓	[우정] 베르타스 라파이 보우				
INTL_20180809_000195	[Friend] 贝尔塔斯 拉菲弩弓	[우정] 베르타스 라파이 크로스보우				
INTL_20180809_000196	[Friend] 贝尔塔斯 拉菲锤槌	[우정] 베르타스 라파이 메이스				
INTL_20180809_000197	[Friend] 贝尔塔斯 拉菲双手锤槌	[우정] 베르타스 라파이 투 핸드 메이스				
INTL_20180809_000198	[Friend] 贝尔塔斯 拉菲盾牌	[우정] 베르타스 라파이 실드				
INTL_20180809_000199	[Friend] 贝尔塔斯 拉菲长矛	[우정] 베르타스 라파이 스피어				
INTL_20180809_000200	[Friend] 贝尔塔斯 拉菲骑兵枪	[우정] 베르타스 라파이 파이크				
INTL_20180809_000201	[Friend] 贝尔塔斯 拉菲匕首	[우정] 베르타스 라파이 대거				
INTL_20180809_000202	[Friend] 贝尔塔斯 拉菲法杖	[우정] 베르타스 라파이 스태프				
INTL_20180809_000203	[Friend] 贝尔塔斯 拉菲手枪	[우정] 베르타스 라파이 피스톨				
INTL_20180809_000204	[Friend] 贝尔塔斯 拉菲花剑	[우정] 베르타스 라파이 레이피어				
INTL_20180809_000205	[Friend] 贝尔塔斯 拉菲大炮	[우정] 베르타스 라파이 캐논				
INTL_20180809_000206	[Friend] 贝尔塔斯 拉菲长枪	[우정] 베르타스 라파이 머스킷				
INTL_20180809_000207	[Event] 美子解锁兑换券	[이벤트] 무녀 클래스 해금권				
INTL_20180809_000208	用于解锁巫女职业,在达到第6级之后.右键点击使用.{nl}事件期结束时,将自动删除.	사용 시 6랭크 달성 후 무녀 클래스를 선택할 수 있습니다. 마우스 오른쪽 클릭으로 사용합니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180809_000209	[Event] 估价师解锁兑换券	[이벤트] 감정사 클래스 해금권				
INTL_20180809_000210	用于解锁鉴定师职业,在达到第5级之后.右键点击使用.{nl}事件期结束时,将自动删除.	사용 시 5랭크 달성 후 감정사 클래스를 선택할 수 있습니다. 마우스 오른쪽 클릭으로 사용합니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180809_000211	[Event] 符文吟唱者解锁兑换券	[이벤트] 룬캐스터 클래스 해금권				
INTL_20180809_000212	用于解锁符文咏唱者职业,在达到第6级之后.右键点击使用.{nl}事件期结束时,将自动删除.	사용 시 6랭크 달성 후 룬캐스터 클래스를 선택할 수 있습니다. 마우스 오른쪽 클릭으로 사용합니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180809_000213	[Event] 忍者解锁兑换券	[이벤트] 시노비 클래스 해금권				
INTL_20180809_000214	用于解锁忍者职业,在达到第7级之后.右键点击使用.{nl}事件期结束时,将自动删除.	사용 시 7랭크 달성 후 시노비 클래스를 선택할 수 있습니다. 마우스 오른쪽 클릭으로 사용합니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180809_000215	[Event] 那空泰拳解锁兑换券	[이벤트] 낙무아이 클래스 해금권				
INTL_20180809_000216	用于解锁泰拳职业,在达到第7级之后.右键点击使用.{nl}事件期结束时,将自动删除.	사용 시 7랭크 달성 후 낙무아이 클래스를 선택할 수 있습니다. 마우스 오른쪽 클릭으로 사용합니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180809_000217	2018 雷堤夏宝箱(8月)	2018 레티샤의 보물 상자(시즌1)				
INTL_20180809_000218	邀请好友活动助手	친구 추천 이벤트 도우미				
INTL_20180809_000219	邀请好友活动现在开放!{nl}与你的朋友一起登录,获得buff和奖励!	친구 추천 이벤트가 진행 중입니다.{nl}친구와 함께 접속 시 다양한 보상과 버프를 획득할 수 있습니다.				친구 추천 이벤트 도우미
INTL_20180809_000220	您不符合参加此次活动的条件.	이벤트 참여 대상이 아닙니다.				
INTL_20180809_000221	队伍 {#003399}{team}{/} 中没有等级达到50或以上的角色.	{#003399}{team}{/}팀 내에 50레벨 이상인 캐릭터가 없습니다.				
INTL_20180809_000222	获得{#003399}{team}{/}的支援	{#003399}{team}{/}의 성장 지원 받기				
INTL_20180809_000223	{#003399}{team}{/} 已上线.{nl} buff 已应用.	{#003399}{team}{/}님이 접속 중입니다.{nl}버프가 부여됩니다.				
INTL_20180809_000224	邀请好友助手	친구 추천 도우미				
INTL_20180817_000225	[活动] 提升/超越武器选择箱(14天)	[이벤트] 강화 및 초월 무기 선택 상자 (14일)				
INTL_20180817_000226	在等级 230 及以上使用,可以选择一个Lv 315 稀有武器(30 天),该武器已强化到 +10 并突破到第 3 阶段.{nl} (强化和突破是在装备选择后应用的.)	230레벨에 사용할 수 있는 315레벨 레어 10강 3초월 무기(30일)을 지급 받을 수 있습니다.{nl}(강화 및 초월은 아이템 선택 시 적용됩니다.)				
INTL_20180817_000227	[归还] 阿卜杜查(30天)	[복귀] 아브도챠 (30일)				
INTL_20180817_000228	[归还] 萨克米斯(30天)	[복귀] 사크미스 (30일)				
INTL_20180817_000229	[归还] 颅骨粉碎者(30天)	[복귀] 스컬 스매셔 (30일)				
INTL_20180817_000230	[归还] 尊敬之角法杖(30天)	[복귀] 리가드 혼 스태프 (30일)				
INTL_20180817_000231	[归还] 荣耀之心(30天)	[복귀] 하트 오브 글로리 (30일)				
INTL_20180817_000232	[归还] 颅骨碎击者(30天)	[복귀] 스컬 브레이커 (30일)				
INTL_20180817_000233	[归还] 埃门加德匕首(30天)	[복귀] 에멘가드 대거 (30일)				
INTL_20180817_000234	[归还] 飞翼坚枪(30天)	[복귀] 윙샤드 스피어 (30일)				
INTL_20180817_000235	[归还] 尊爵角枪(30天)	[복귀] 리가드 혼 파이크 (30일)				
INTL_20180817_000236	[归还] 黑角(30天)	[복귀] 블랙 혼 (30일)				
INTL_20180817_000237	[归还] 尊爵角弩(30天)	[복귀] 리가드 혼 크로스보우 (30일)				
INTL_20180817_000238	[归还] 星辰弓(30天)	[복귀] 아스트라 보우 (30일)				
INTL_20180817_000239	[归还] 阿斯帕纳左轮手枪(30天)	[복귀] 아스파나 리볼버 (30일)				
INTL_20180817_000240	[归还] 埃蒙加德大炮(30天)	[복귀] 에멘가드 캐논 (30일)				
INTL_20180817_000241	[归还] 埃蒙加德鸟铳(30天)	[복귀] 에멘가드 머스킷 (30일)				
INTL_20180817_000242	[归还] 埃蒙加德盾牌(30天)	[복귀] 에멘가드 실드 (30일)				
INTL_20180827_000243	颁发给游戏攻略创作者的称号.右键点击使用.	Game Guide Creator에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20180903_000244	{ds}{b}{#ffefd6}30分钟:{#fe7e00}10点	{ds}{b}{#ffefd6}30분:{#fe7e00}10 POINT				
INTL_20180903_000245	请点击Popo商店重试.	Popo Shop의 재시도 버튼을 클릭해주세요				
INTL_20180903_000246	Popo商店道具购买失败了,请重试.	Popo Shop 아이템 구매에 실패했습니다. 다시 시도해 주세요.				
INTL_20180903_000247	Popo商店点数不足.	Popo Shop 포인트가 부족합니다.				
INTL_20180907_000248	是否使用Mongo DB系统讯息储存/载入功能 Y/N	몽고 db에 특정 시스템 메시지 저장/로드 기능 사용할 것인지				
INTL_20180914_000249	战斗支援商店礼券(14天)	전투 지원 상점 이용권(14일)				
INTL_20180914_000250	打开一家商店,您可以购买药水、技能消耗品和其他有用的物品.	사용 시 전투에 필요한 물건을 구매할 수 있는 상점을 이용할 수 있습니다.				
INTL_20180914_000251	战斗支援商店礼券	전투 지원 상점 이용권				
INTL_20180914_000252	2018 雷堤夏宝箱(9月)	2018 레티샤의 보물 상자(시즌2)				
INTL_20180928_000253	授予2018万圣节粉丝艺术比赛冠军的称号.右键点击使用.	Horror Night 팬아트 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20181026_000254	您要选择获得参与10次的奖励吗?	받으실 10회 참여 횟수 보상을 선택해 주시겠어요?				큐폴 다이나
INTL_20181026_000255	技能重置药水(14天)、拉花小兔	스킬 초기화 포션 (14일), 거품 토끼				
INTL_20181026_000256	技能重置药水(14天)、拉花小猫	스킬 초기화 포션 (14일), 거품 고양이				
INTL_20181104_000257	2018 雷堤夏宝箱(10月)	2018 레티샤의 보물 상자(시즌3)				
INTL_20181111_000258	独特塔特	유니크 탈트				
INTL_20181111_000259	在塔特加工装置上可以交换装备道具.	탈트 가공 장치에서 장비 아이템으로 교환할 수 있습니다.				
INTL_20181111_000260	独特未鉴定双手武器选择箱	유니크 미감정 양손 무기 선택 상자				
INTL_20181111_000261	可以获得380级独特未鉴定装备道具.{nl}获得的装备道具无限制,可以进行所有交易.	380레벨 유니크 미감정 장비 아이템을 획득할 수 있습니다.{nl}획득한 장비 아이템은 무제한이며 모든 거래가 가능합니다.				
INTL_20181111_000262	独特未鉴定单手武器选择箱	유니크 미감정 한손 무기 선택 상자				
INTL_20181111_000263	独特未鉴定上衣选择箱	유니크 미감정 상의 선택 상자				
INTL_20181111_000264	独特未鉴定裤子选择箱	유니크 미감정 하의 선택 상자				
INTL_20181111_000265	独特未鉴定手套选择箱	유니크 미감정 장갑 선택 상자				
INTL_20181111_000266	独特未鉴定鞋子选择箱	유니크 미감정 신발 선택 상자				
INTL_20181111_000267	当区域服务器FPS降至每秒2帧以下时,编译跟踪数据的功能.	ZoneServer의 FPS가 2프레임 이하일때 트레이싱 정보를 수집하는 기능				
INTL_20181116_000268	TOS武器设计活动获胜者的头衔.右键点击使用.	TOS Weapon Designer 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20181116_000269	塔特加工装置	탈트 가공 장치				
INTL_20181211_000270	使用后将获得一个随机Lv 380 普里姆斯防具物品.	사용 시 380레벨 프리머스 방어구 아이템 중 한가지 아이템이 랜덤으로 지급됩니다.				
INTL_20181211_000271	使用后将获得一个随机Lv 380 普里姆斯武器/副武器物品.	사용 시 380레벨 프리머스 무기/보조무기 아이템 중 한가지 아이템이 랜덤으로 지급됩니다.				
INTL_20181229_000272	2018 莱蒂西娅宝箱(第4季)	2018 레티샤의 보물 상자(시즌4)				
INTL_20190102_000273	{@st66b}收藏	{@st66b}컬렉션				
INTL_20190104_000274	颁发给新年粉丝艺术事件获胜者的头衔.右键点击使用.	New Year Artist 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20190112_000275	本物品仅可用于改变其他物品的外观.{nl}当用作外观素材时,不消耗白银.{nl}可在兑换商店兑换成勋章.{nl}(此装束由来自 [SA] Silute 的 Lunmairetic 设计)	외형 변경 전용 아이템입니다.{nl}해당 아이템으로 외형 변경 시 소재와 실버를 소모하지 않습니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.{nl}(This costume is designed by Lunmairetic from Silute Server.)				
INTL_20190216_000276	波波商店 100点数购买券	포포샵 100 포인트 구매권				
INTL_20190216_000277	使用后可获得波波商店积分100点.{nl} - 仅可在波波积分商店活动期间内使用.	사용 시 포포샵 100 포인트가 추가됩니다.{nl} - 최대 포인트가 초과될 경우 사용할 수 없습니다.{nl} - 포포샵 이벤트 기간중에만 사용할 수 있습니다.				
INTL_20190216_000278	波波商店 500点数购买券	포포샵 500 포인트 구매권				
INTL_20190216_000279	使用后可获得波波商店积分500点.{nl} - 仅可在波波积分商店活动期间内使用.	사용 시 포포샵 500 포인트가 추가됩니다.{nl} - 최대 포인트가 초과될 경우 사용할 수 없습니다.{nl} - 포포샵 이벤트 기간중에만 사용할 수 있습니다.				
INTL_20190216_000280	波波商店 1,000点数购买券	포포샵 1000 포인트 구매권				
INTL_20190216_000281	使用后可获得波波商店积分1000点.{nl} - 仅可在波波积分商店活动期间内使用.	사용 시 포포샵 1000 포인트가 추가됩니다.{nl} - 최대 포인트가 초과될 경우 사용할 수 없습니다.{nl} - 포포샵 이벤트 기간중에만 사용할 수 있습니다.				
INTL_20190216_000282	生命恢复药水(1天)	HP 포션 (1일)				
INTL_20190216_000283	HP立刻恢复40%,11秒内每隔2秒HP恢复40%,点击鼠标右键使用,冷却时间20秒.	HP를 40% 즉시 회복시키고 2초 간격으로 11초 동안 HP를 40% 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 20초.				
INTL_20190216_000284	生命恢复药水(7天)	HP 포션 (7일)				
INTL_20190216_000285	SP立刻恢复40%,11秒内每隔2秒SP恢复40%,点击鼠标右键使用,冷却时间20秒.	SP를 40% 즉시 회복시키고 2초 간격으로 11초 동안 SP를 40% 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 20초.				
INTL_20190216_000286	技能恢复药水(1天)	SP 포션 (1일)				
INTL_20190216_000287	技能恢复药水(7天)	SP 포션 (7일)				
INTL_20190216_000288	制作书 - HP药水(1天)	제작서 - HP 포션 (1일)				
INTL_20190216_000289	制作书 - HP药水(7天)	제작서 - HP 포션 (7일)				
INTL_20190216_000290	制作书 - SP药水(1天)	제작서 - SP 포션 (1일)				
INTL_20190216_000291	制作书 - SP药水(7天)	제작서 - SP 포션 (7일)				
INTL_20190219_000292	这是可以制作道具的制作书.	아이템을 제작할 수 있는 제작서입니다.				
INTL_20190219_000293	只能在波波积分商店活动期间使用.	포포샵 이벤트 기간에만 사용 가능합니다.				
INTL_20190219_000294	无法超过{MAX}点.	{MAX}포인트를 초과할 수 없습니다.				
INTL_20190228_000295	庆典爆竹	축제 폭죽				
INTL_20190228_000296	大家的烟火节	모두의 불꽃 축제				
INTL_20190228_000297	收集庆典爆竹可以跟活动布告栏交换各种道具.{nl}(使用时,10分内移动速度+2、物理攻击力+50、魔法攻击力+50.)	축제 폭죽을 모아 이벤트 알림판으로부터 다양한 아이템으로 교환할 수 있습니다.{nl}(사용 시 10분 동안 이동속도 +2, 물리 공격력 +50, 마법 공격력 +50 증가합니다.)				
INTL_20190228_000298	庆典服装选择箱	축제 의상 코스튬 선택 상자				
